symbol,description,exch,last,volume,high,low,close,change,average_volume,volatility,date
SRXH,SRX HealthSolutions Inc,A,0.12,50138169,0.1249,0.1136,0.12,-0.02,0,0.09416666666666659,2026-04-15
STRW,Strawberry Fields REIT Inc,A,12.94,15115,13.3,12.79,12.94,-0.35,0,0.03941267387944371,2026-04-15
STXS,Stereotaxis Inc,A,2.01,1125817,2.015,1.85,2.01,-0.02,298323,0.082089552238806,2026-04-15
SVM,Silvercorp Metals Inc. Common Shares,A,12.35,3593950,12.835,12.115,12.35,-0.05,0,0.05829959514170046,2026-04-15
SYNX,Silynxcom Ltd,A,1.05,284511,1.05,0.98,1.05,0.07,0,0.06666666666666672,2026-04-15
TGB,"Taseko Mines, Ltd. Common Stock",A,7.51,5367525,7.78,7.49,7.51,-0.28,0,0.03861517976031958,2026-04-15
TGEN,Tecogen Inc,A,3.92,631249,4.12,3.71,3.92,0.13,20711,0.10459183673469391,2026-04-15
THM,"International Tower Hill Mines, Ltd. Ordinary Shares (Canada)",A,2.56,797460,2.61,2.505,2.56,-0.01,0,0.04101562499999999,2026-04-15
TII,Titan Mining Corporation Common Shares,A,2.84,251964,2.975,2.79,2.84,-0.12,0,0.06514084507042256,2026-04-15
TMDE,TMD Energy Ltd,A,1.28,903651,1.28,1.2097,1.28,-0.05,0,0.05492187500000002,2026-04-15
TMP,Tompkins Financial Corp,A,83.76,51858,84.14,83.03,83.76,-0.56,39130,0.013252148997134663,2026-04-15
TMQ,Trilogy Metals Inc. Common Stock,A,4.31,2187123,4.37,4.15,4.31,0.17,0,0.051044083526682084,2026-04-15
TOON,Kartoon Studios Inc,A,0.6291,123075,0.6499,0.61,0.6291,0.02,0,0.06342393896041972,2026-04-15
TOPP,Toppoint Holdings Inc,A,0.82,15189,0.82,0.766401,0.82,0,0,0.06536463414634142,2026-04-15
TOPS,TOP Ships Inc,A,2.99,54493,3.05,2.96,2.99,-0.04,504071,0.030100334448160484,2026-04-15
TOVX,Theriva Biologics Inc,A,0.2551,1575978,0.2593,0.245,0.2551,0.02,0,0.05605644845158753,2026-04-15
TPET,Trio Petroleum Corp,A,0.5087,3482825,0.514999,0.4928,0.5087,-0.01,0,0.04363868684883029,2026-04-15
TRT,Trio-Tech International,A,6.82,50867,7.05,6.76,6.82,-0.16,8181,0.042521994134897365,2026-04-15
TRX,TRX Gold Corporation Common Stock,A,1.46,4602745,1.58,1.45,1.46,-0.11,0,0.08904109589041104,2026-04-15
UAMY,United States Antimony Corp,N,10.7,15905034,10.71,9.47,10.7,1.33,30876,0.11588785046728975,2026-04-15
UAVS,AgEagle Aerial Systems Inc,A,1.05,3365655,1.06,1.01,1.05,0.01,215773,0.04761904761904766,2026-04-15
UEC,Uranium Energy Corp,A,14.82,10034309,15.36,14.191,14.82,0.69,843725,0.07887989203778668,2026-04-15
UMAC,Unusual Machines Inc,A,15.42,5029317,15.42,13.88,15.42,1.43,0,0.09987029831387803,2026-04-15
URG,Ur Energy Inc Common Shares (Canada),A,1.65,7324896,1.68,1.57,1.65,0.06,0,0.0666666666666666,2026-04-15
USAS,"Americas Gold and Silver Corporation Common Shares, no par value",A,6.1,4633529,6.33,5.84,6.1,0.07,0,0.08032786885245906,2026-04-15
USBC,USBC Inc,A,0.348,282726,0.358,0.3343,0.348,0.01,0,0.06810344827586207,2026-04-15
UTG,Reaves Utility Income Fund,A,41.82,153359,41.95,41.6,41.82,-0.02,0,0.008369201339072247,2026-04-15
UUU,Universal Safety Products Inc,A,5.78,18247,5.96,5.72,5.78,-0.22,44180,0.041522491349481,2026-04-15
UUUU,Energy Fuels Inc Ordinary Shares (Canada),A,21,13157924,21.425,19.78,21,1.46,0,0.07833333333333331,2026-04-15
VENU,Venu Holding Corp,A,4.1,682961,4.2882,3.98,4.1,0.11,0,0.07517073170731703,2026-04-15
VFL,Delaware Investments Natl Muni Income,A,10.24,56931,10.29,10.22,10.24,-0.01,0,0.006835937499999854,2026-04-15
VGZ,Vista Gold Corp,A,2.09,776433,2.17,2.07,2.09,-0.02,255974,0.04784688995215316,2026-04-15
VKI,Invesco Advantage Municipal Income Trust II,A,8.89,49885,8.9599,8.84,8.89,0.03,0,0.013487064116985314,2026-04-15
VNRX,VolitionRX Ltd,A,0.171,3277624,0.1736,0.1574,0.171,0.02,114493,0.0947368421052631,2026-04-15
VNTG,Vantage Corp,A,0.751,32568,0.8001,0.75,0.751,-0.02,0,0.06671105193075903,2026-04-15
VTAK,Catheter Precision Inc,A,1.03,107757,1.11,1.013096,1.03,-0.1,0,0.09408155339805835,2026-04-15
VZLA,Vizsla Silver Corp. Common Shares,A,3.42,11037471,3.52,3.364,3.42,-0.04,0,0.04561403508771934,2026-04-15
WRN,Western Copper and Gold Corporation Common Stock,A,2.8,1943599,2.96,2.765,2.8,-0.15,0,0.06964285714285709,2026-04-15
WWR,Westwater Resources Inc,A,0.6813,1267493,0.69455,0.6451,0.6813,0.04,227532,0.07258182885659767,2026-04-15
WYY,WidePoint Corp,A,5.21,27704,5.21,4.91,5.21,0.19,188911,0.057581573896353135,2026-04-15
XPL,Solitario Resources Corp,A,0.8999,152044,0.92,0.88,0.8999,-0.02,87549,0.04444938326480724,2026-04-15
XTNT,Xtant Medical Holdings Inc,A,0.5,58890,0.5198,0.4917,0.5,-0.01,6899,0.05620000000000003,2026-04-15
YCBD,cbdMD Inc,A,0.779,388315,0.7798,0.711,0.779,0.06,773471,0.08831835686777931,2026-04-15
ZDGE,Zedge Inc,A,3.01,67847,3.0699,2.93,3.01,0.1,13976,0.04647840531561459,2026-04-15
ZONE,CleanCore Solutions Inc,A,0.329,1631802,0.34393,0.32,0.329,-0.02,0,0.07273556231003041,2026-04-15
